state,colonies_number,yield_per_colony,production,stocks,average_price,value_of_production,year
Alabama,16000,58,928000,28000,62,575000,1995
Arizona,52000,79,4108000,986000,68,2793000,1995
Arkansas,50000,60,3000000,900000,64,1920000,1995
California,420000,93,39060000,4687000,60,23436000,1995
Colorado,45000,60,2700000,1404000,68,1836000,1995
Florida,230000,86,19780000,1780000,63,12461000,1995
Georgia,70000,62,4340000,260000,69,2995000,1995
Hawaii,8000,129,1032000,103000,55,568000,1995
Idaho,125000,48,6000000,1020000,65,3900000,1995
Illinois,11000,74,814000,212000,102,830000,1995
Indiana,12000,63,756000,166000,68,514000,1995
Iowa,50000,68,3400000,612000,72,2448000,1995
Kansas,17000,67,1139000,182000,71,809000,1995
Kentucky,3000,44,132000,30000,103,136000,1995
Louisiana,33000,119,3927000,275000,61,2395000,1995
Maine,11000,45,495000,223000,100,495000,1995
Maryland,7000,35,245000,81000,114,279000,1995
Michigan,97000,92,8924000,3570000,72,6425000,1995
Minnesota,165000,82,13530000,1218000,66,8930000,1995
Mississippi,16000,70,1120000,146000,64,717000,1995
Missouri,23000,67,1541000,308000,65,1002000,1995
